id,proposedTool,title,transformation,proposedEngine,engineExists,gap,status,difficulty,searchDemand,competitionScore,evergreenScore,implementationCost,engineReuse,seoPotential,topicClusterPotential,localizationPotential,confidence,finalScore
probability-calculator,probability-calculator,Probability Lab,Probability,math-lab,true,guide-missing,already-exists,medium,0.85,0.69,0.95,0.7,1,0.94,0,0.82,0.8,78.6
remove-emoji,remove-emoji,Remove Emoji,Emoji Removal,text-processor,true,needs-improvement,already-exists,low,0.66,0.76,0.78,1,1,0.74,0,0.8,0.8,78.5
csv-to-tsv,csv-to-tsv,CSV to TSV,CSV/TSV Conversion,csv,true,needs-improvement,already-exists,low,0.58,0.82,0.8,1,1,0.71,0,0.9,0.64,78.4
matrix-calculator,matrix-calculator,Matrix Calculator,Matrices,math,true,cluster-missing,recommended,medium,0.88,0.46,0.95,0.7,1,0.95,0,0.85,0.8,78.3
roi-calculator,roi-calculator,ROI Calculator,Return on Investment,finance,true,needs-improvement,already-exists,low,0.88,0.58,0.9,1,1,0.71,0,0.85,0.8,78.1
colorblind-simulator,colorblind-simulator,Colorblind Simulator,Color Vision Simulation,color,true,cluster-missing,recommended,medium,0.66,0.7,0.9,0.7,1,0.86,0,0.94,0.8,77.8
chemical-bond-calculator,chemical-bond-calculator,Chemical Bond Calculator,Bond Character,chemistry-lab,true,guide-missing,already-exists,medium,0.71,0.8,0.95,0.7,1,0.88,0,0.7,0.8,77.6
protein-intake-calculator,protein-intake-calculator,Protein Intake Calculator,Energy And Nutrition Planning,wellness,true,needs-improvement,already-exists,low,0.7,0.63,0.9,1,1,0.88,0.5,0.88,0.8,77.6
csv-cleaner,csv-cleaner,CSV Cleaner,CSV Cleaning,csv,true,needs-improvement,already-exists,medium,0.7,0.76,0.82,0.7,1,0.88,0,0.86,0.8,77.4
cagr-calculator,cagr-calculator,CAGR Calculator,Compound Annual Growth Rate,finance,true,needs-improvement,already-exists,low,0.82,0.6,0.88,1,1,0.69,0,0.8,0.8,77.2
age-calculator,age-calculator,Age Calculator,Age Calculation,datetime,true,needs-improvement,already-exists,medium,0.88,0.46,0.88,0.7,1,0.83,0,0.78,0.8,77.1
normal-distribution-visualizer,normal-distribution-visualizer,Normal Distribution Visualizer,Normal Distribution,math-lab,true,cluster-missing,recommended,medium,0.76,0.61,0.94,0.7,1,0.9,0,0.8,0.8,77.1
date-difference-calculator,date-difference-calculator,Date Difference Calculator,Date Difference,datetime,true,needs-improvement,already-exists,medium,0.85,0.56,0.9,0.7,1,0.7,0,0.8,0.8,77
reaction-rate-calculator,reaction-rate-calculator,Reaction Rate Calculator,Chemical Kinetics,chemistry-lab,true,guide-missing,already-exists,medium,0.74,0.66,0.95,0.7,1,0.9,0,0.78,0.8,76.7
pregnancy-due-date-calculator,pregnancy-due-date-calculator,Pregnancy Due Date Calculator,Health Date Calculation,datetime,true,cluster-missing,recommended,low,0.88,0.46,0.95,1,1,0.95,0.5,0.88,0.8,76.6
lean-body-mass-calculator,lean-body-mass-calculator,Lean Body Mass Calculator,Body Composition Calculation,wellness,true,cluster-missing,recommended,low,0.55,0.7,0.92,1,1,0.82,0.5,0.92,0.64,76.5
linear-regression-playground,linear-regression-playground,Linear Regression Playground,Linear Regression,math-lab,true,cluster-missing,recommended,medium,0.7,0.66,0.93,0.7,1,0.88,0,0.78,0.8,76.3
crc32-hash-generator,crc32-hash-generator,CRC32 Hash Generator,Checksum (CRC32),hashing,true,needs-improvement,already-exists,low,0.56,0.68,0.8,1,1,0.7,0,0.92,0.64,76.1
simple-harmonic-motion-calculator,simple-harmonic-motion-calculator,Spring (SHM) Simulator,Simple Harmonic Motion,physics,true,guide-missing,already-exists,low,0.68,0.73,0.94,1,1,0.87,0,0.8,0.8,76.1
hash-identifier,hash-identifier,Hash Identifier and Verifier,Hash Identification,hashing,true,cluster-missing,recommended,low,0.38,0.76,0.92,1,1,0.75,0,0.95,0.64,75.9
uuid-inspector,uuid-inspector,UUID Inspector,Identifier Inspection,generation,true,cluster-missing,recommended,low,0.3,0.87,0.88,1,1,0.72,0,0.92,0.64,75
newman-projection-calculator,newman-projection-calculator,Newman Projection Calculator,Conformational Analysis,chemistry-lab,true,guide-missing,already-exists,medium,0.62,0.9,0.94,0.7,1,0.85,0,0.7,0.8,74.9
invisible-character-detector,invisible-character-detector,Invisible Character Detector,Invisible Character Detection,text-processor,true,needs-improvement,already-exists,medium,0.41,0.9,0.94,0.7,1,0.76,0,0.88,0.64,74.8
csv-column-picker,csv-column-picker,CSV Column Picker,CSV Column Selection,csv,true,cluster-missing,recommended,medium,0.6,0.78,0.8,0.7,1,0.72,0,0.88,0.8,74.7
crystal-field-splitting-calculator,crystal-field-splitting-calculator,Crystal Field Splitting Calculator,Crystal Field Splitting,chemistry-lab,true,guide-missing,already-exists,medium,0.58,0.94,0.93,0.7,1,0.83,0,0.66,0.64,74.6
ovulation-calculator,ovulation-calculator,Ovulation Calculator,Health Date Calculation,datetime,true,cluster-missing,recommended,low,0.8,0.48,0.92,1,1,0.92,0.5,0.88,0.8,74.6
function-grapher,function-grapher,Function Grapher,Function Graphing,math-lab,true,cluster-missing,recommended,high,0.9,0.39,0.97,0.4,1,0.96,0,0.85,0.8,74.5
molecular-geometry-calculator,molecular-geometry-calculator,Molecular Geometry Calculator,VSEPR Geometry,chemistry-lab,true,cluster-missing,recommended,medium,0.73,0.66,0.95,0.7,1,0.89,0,0.68,0.8,74.5
ideal-gas-law-calculator,ideal-gas-law-calculator,Ideal Gas Law Simulator,Ideal Gas Law,physics,true,guide-missing,already-exists,medium,0.82,0.6,0.95,0.7,1,0.93,0,0.82,0.8,74.4
blood-pressure-tracker,blood-pressure-tracker,Blood Pressure Tracker,Personal Health Logging,tracker,true,cluster-missing,recommended,low,0.62,0.79,0.95,1,1,0.85,0.25,0.92,0.8,74.3
css-gradient-generator,css-gradient-generator,Perceptual Gradient Generator,Perceptual Gradient,color,true,cluster-missing,recommended,medium,0.7,0.38,0.88,0.7,1,0.88,0,0.9,0.8,74.1
waist-to-hip-ratio-calculator,waist-to-hip-ratio-calculator,Waist to Hip Ratio Calculator,Body Composition Calculation,wellness,true,cluster-missing,recommended,low,0.52,0.73,0.92,1,1,0.81,0.5,0.95,0.64,73.7
sleep-hours-tracker,sleep-hours-tracker,Sleep Hours Tracker,Personal Health Logging,tracker,true,cluster-missing,recommended,low,0.5,0.6,0.88,1,1,0.8,0.25,0.9,0.64,73.5
date-format-detector,date-format-detector,Date Format Detector,Date Format Disambiguation,datetime,true,cluster-missing,recommended,medium,0.36,0.9,0.93,0.7,1,0.74,0,0.8,0.64,73.2
doppler-effect-calculator,doppler-effect-calculator,Doppler Effect Simulator,Doppler Effect,physics,true,guide-missing,already-exists,medium,0.78,0.68,0.94,0.7,1,0.79,0,0.8,0.8,73.1
word-frequency-counter,word-frequency-counter,Word Frequency Counter,Word Frequency Analysis,text-analysis,true,needs-improvement,already-exists,medium,0.72,0.52,0.82,0.7,1,0.77,0,0.65,0.8,73
body-surface-area-calculator,body-surface-area-calculator,Body Surface Area Calculator,Body Composition Calculation,wellness,true,cluster-missing,recommended,low,0.48,0.76,0.95,1,1,0.79,0.5,0.96,0.64,72.9
systemd-timer-converter,systemd-timer-converter,Cron to systemd Timer Converter,Schedule Expression Translation,datetime,true,needs-improvement,already-exists,medium,0.29,0.94,0.92,0.7,1,0.72,0,0.95,0.64,72.9
encoding-detector,encoding-detector,Encoding Detector,Encoding Detection,encoding,true,needs-improvement,already-exists,medium,0.34,0.88,0.9,0.7,1,0.74,0,0.95,0.64,72.8
momentum-collision-calculator,momentum-collision-calculator,Momentum & Collision Simulator,Momentum and Collisions,physics,true,guide-missing,already-exists,medium,0.72,0.7,0.95,0.7,1,0.77,0,0.8,0.8,72.2
vo2-max-calculator,vo2-max-calculator,VO2 Max Calculator,Fitness Performance Calculation,wellness,true,cluster-missing,recommended,medium,0.58,0.68,0.9,0.7,1,0.83,0.5,0.85,0.64,72.2
timezone-converter,timezone-converter,Timezone Converter,Timezone Conversion,datetime,true,needs-improvement,already-exists,high,0.8,0.54,0.86,0.4,1,0.68,0,0.84,0.8,71.9
image-palette-extractor,image-palette-extractor,Image Palette Extractor,Palette Extraction,color,true,cluster-missing,recommended,high,0.68,0.58,0.82,0.4,1,0.87,0,0.9,0.8,71.6
inclined-plane-calculator,inclined-plane-calculator,Inclined Plane Simulator,Inclined Plane and Friction,physics,true,guide-missing,already-exists,medium,0.62,0.76,0.93,0.7,1,0.85,0,0.78,0.8,71.5
cron-expression-parser,cron-expression-parser,Cron Expression Parser,Cron Parsing,datetime,true,needs-improvement,already-exists,high,0.72,0.54,0.84,0.4,1,0.77,0,0.92,0.8,70.8
shell-quote-escalator,shell-quote-escalator,Shell Quote Escalator,Shell Quoting,encoding,true,needs-improvement,already-exists,medium,0.11,1,0.94,0.7,1,0.64,0,0.96,0.64,69.9
net-worth-calculator,net-worth-calculator,Net Worth Calculator,Net Worth,budget,false,engine-missing,recommended,low,0.8,0.62,0.88,0.9,0.3,0.68,0,0.78,0.8,66.6
loan-calculator,loan-calculator,Loan Calculator,Loan Amortization,loan,false,engine-missing,recommended,medium,0.96,0.54,0.95,0.6,0.3,0.86,0,0.9,0.8,66.2
salary-calculator,salary-calculator,Salary Calculator,Salary Conversion,budget,false,engine-missing,recommended,medium,0.9,0.52,0.92,0.6,0.3,0.84,0,0.88,0.8,64.7
mortgage-calculator,mortgage-calculator,Mortgage Calculator,Mortgage Amortization,loan,false,engine-missing,recommended,medium,0.98,0.4,0.96,0.6,0.3,0.87,0,0.88,0.8,64.3
retirement-calculator,retirement-calculator,Retirement Calculator,Retirement Projection,retirement,false,engine-missing,discovered,high,0.94,0.46,0.94,0.3,0.3,0.74,0,0.82,0.8,58.3
meal-plan-generator,meal-plan-generator,Meal Plan Generator,Nutrition Authoring,meal-planning,false,engine-missing,discovered,high,0.75,0.3,0.6,0.3,0.3,0.9,0,0.4,0.64,45.5
